CustomerID,lifetime_value,frequency,total_items,last_purchase
14646.0,280206.02,73,2076,2011-12-08 12:12:00
18102.0,259657.3,60,431,2011-12-09 11:50:00
17450.0,194390.79,46,336,2011-12-01 13:29:00
16446.0,168472.5,2,3,2011-12-09 09:15:00
14911.0,140336.83,199,5668,2011-12-08 15:54:00
12415.0,124914.53,21,714,2011-11-15 14:22:00
14156.0,117210.08,55,1395,2011-11-30 10:54:00
17511.0,91062.38,31,963,2011-12-07 10:12:00
16029.0,80850.84,63,241,2011-11-01 10:27:00
12346.0,77183.6,1,1,2011-01-18 10:01:00
16684.0,66653.56,28,277,2011-12-05 14:06:00
13694.0,65039.62,50,568,2011-12-06 09:32:00
15311.0,60632.75,91,2366,2011-12-09 12:00:00
13089.0,58762.08,97,1814,2011-12-07 09:02:00
17949.0,58030.48,44,69,2011-12-08 18:46:00
15769.0,56252.72,26,130,2011-12-02 13:52:00
15061.0,54534.14,48,403,2011-12-06 12:06:00
14096.0,53258.43,17,5095,2011-12-05 17:17:00
14298.0,51527.3,44,1637,2011-12-01 13:12:00
14088.0,50491.81,13,589,2011-11-29 16:16:00
