StockCode,Description,revenue,order_count,total_quantity
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,1,80995
22423,REGENCY CAKESTAND 3 TIER,142264.75,1703,12374
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100392.1,1971,36706
85099B,JUMBO BAG RED RETROSPOT,85040.54,1600,46078
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73,195,77916
POST,POSTAGE,77803.96,1099,3120
47566,PARTY BUNTING,68785.23,1379,15279
84879,ASSORTED COLOUR BIRD ORNAMENT,56413.03,1375,35263
23084,RABBIT NIGHT LIGHT,51251.24,801,27153
79321,CHILLI LIGHTS,46265.11,519,9646
